,GM,IM,FM,CM,WGM,WIM,WFM,WCM,LM,Untitled Expert,A,B,C,D,E,N,BOT
Queen's Pawn Game,59.0,87.0,226.0,124.0,5.0,11.0,15.0,2.0,1.0,35852.0,38093.0,43849.0,40299.0,31363.0,20477.0,12964.0,155.0
French Defense,24.0,94.0,211.0,134.0,5.0,5.0,18.0,5.0,5.0,29705.0,30832.0,30725.0,26387.0,18152.0,10907.0,5861.0,319.0
Ruy Lopez,6.0,18.0,64.0,22.0,,3.0,5.0,,1.0,5608.0,6445.0,8751.0,9483.0,7994.0,5221.0,2106.0,270.0
Sicilian Defense,140.0,302.0,604.0,209.0,19.0,12.0,51.0,29.0,8.0,59714.0,54622.0,52199.0,37628.0,22017.0,10987.0,4240.0,371.0
Englund Gambit,2.0,8.0,18.0,9.0,,,3.0,,1.0,3857.0,5345.0,6818.0,6731.0,5052.0,3119.0,1980.0,30.0
Zukertort Opening,60.0,174.0,260.0,96.0,10.0,,1.0,3.0,8.0,17315.0,11280.0,10885.0,9620.0,7107.0,4896.0,3414.0,95.0
Queen's Gambit,,,1.0,,,,,,,150.0,267.0,345.0,324.0,221.0,101.0,64.0,4.0
Caro-Kann Defense,81.0,98.0,254.0,99.0,15.0,5.0,4.0,10.0,3.0,27940.0,25938.0,26748.0,22301.0,15372.0,8762.0,3714.0,118.0
Scotch Game,3.0,13.0,20.0,17.0,,,2.0,1.0,,4517.0,7027.0,10132.0,10641.0,8310.0,5501.0,2448.0,25.0
Bishop's Opening,,1.0,6.0,5.0,,,2.0,,,2282.0,4991.0,8739.0,10466.0,9134.0,6074.0,4702.0,10.0
King's Pawn Game,,5.0,11.0,6.0,,,1.0,1.0,,3171.0,6740.0,12242.0,16599.0,17208.0,15562.0,14485.0,26.0
Philidor Defense,12.0,17.0,24.0,8.0,,6.0,,,,3272.0,7106.0,11451.0,12316.0,10543.0,6421.0,3488.0,28.0
Scandinavian Defense,17.0,48.0,111.0,47.0,1.0,5.0,,,,19059.0,24725.0,28152.0,24461.0,19107.0,12938.0,8147.0,45.0
Nimzo-Larsen Attack,19.0,25.0,186.0,121.0,1.0,1.0,,,,12631.0,8194.0,8501.0,6367.0,3830.0,1874.0,1070.0,72.0
Elephant Gambit,1.0,6.0,13.0,4.0,,,,,,1186.0,1403.0,1657.0,1383.0,1147.0,865.0,590.0,5.0
Nimzowitsch Defense,3.0,12.0,26.0,3.0,,,1.0,,4.0,4181.0,4421.0,5081.0,5135.0,4522.0,3541.0,2536.0,79.0
King's Gambit Accepted,1.0,2.0,6.0,2.0,,,2.0,,,1742.0,3487.0,4412.0,3686.0,2348.0,1170.0,507.0,18.0
Italian Game,5.0,35.0,66.0,37.0,,1.0,2.0,,1.0,9022.0,14407.0,20577.0,23526.0,20349.0,13812.0,6580.0,162.0
Horwitz Defense,9.0,7.0,33.0,14.0,1.0,,6.0,1.0,1.0,6025.0,5988.0,6752.0,6003.0,4130.0,2301.0,1427.0,23.0
Hungarian Opening,22.0,35.0,113.0,30.0,5.0,9.0,2.0,23.0,1.0,9529.0,8012.0,8687.0,6752.0,4408.0,2685.0,1426.0,38.0
Queen's Gambit Declined,11.0,45.0,80.0,46.0,3.0,4.0,3.0,4.0,,14083.0,15073.0,15447.0,11558.0,7334.0,3707.0,1304.0,252.0
Benoni Defense,17.0,79.0,114.0,44.0,8.0,1.0,3.0,1.0,1.0,11222.0,6934.0,5663.0,4031.0,2196.0,1062.0,391.0,43.0
Van't Kruijs Opening,3.0,12.0,24.0,11.0,,5.0,,3.0,7.0,6946.0,7083.0,8350.0,8066.0,6441.0,4728.0,3664.0,78.0
Modern Defense,24.0,76.0,125.0,27.0,2.0,5.0,1.0,1.0,,10988.0,11137.0,12535.0,9949.0,6533.0,3233.0,1593.0,27.0
Slav Defense,13.0,20.0,73.0,23.0,,7.0,5.0,2.0,1.0,7543.0,6192.0,5207.0,3381.0,1984.0,970.0,328.0,39.0
English Opening,27.0,100.0,293.0,70.0,5.0,9.0,14.0,11.0,11.0,20872.0,15493.0,14933.0,11052.0,6443.0,3526.0,1831.0,221.0
Semi-Slav Defense,1.0,9.0,20.0,10.0,,,5.0,1.0,,3836.0,2839.0,2027.0,1129.0,564.0,220.0,59.0,216.0
Owen Defense,5.0,9.0,19.0,7.0,,,1.0,,,4178.0,5593.0,7272.0,6440.0,4064.0,2345.0,958.0,8.0
Mieses Opening,7.0,12.0,19.0,11.0,,2.0,,,,4379.0,3310.0,3559.0,2971.0,1985.0,1320.0,889.0,6.0
Old Indian Defense,3.0,4.0,12.0,4.0,,1.0,1.0,,,1846.0,1589.0,1394.0,1071.0,684.0,339.0,133.0,2.0
Ponziani Opening,,,2.0,1.0,,1.0,,,,688.0,1321.0,2101.0,2257.0,1927.0,1357.0,693.0,4.0
Vienna Game,7.0,4.0,23.0,6.0,,,,,,3245.0,4548.0,6313.0,6623.0,4929.0,3473.0,2369.0,18.0
Three Knights Opening,2.0,6.0,7.0,4.0,,,1.0,,,1221.0,1766.0,2702.0,3362.0,3159.0,2501.0,1676.0,4.0
Four Knights Game,3.0,20.0,30.0,17.0,,,3.0,,,2670.0,3394.0,5104.0,6288.0,6507.0,5752.0,4187.0,41.0
Bird Opening,,32.0,25.0,11.0,,,,,,5196.0,5803.0,5232.0,3189.0,1751.0,1088.0,799.0,15.0
Dutch Defense,1.0,12.0,29.0,4.0,,1.0,6.0,,,3577.0,2898.0,2416.0,1584.0,930.0,566.0,258.0,17.0
English Defense,2.0,5.0,10.0,2.0,,,2.0,,,2730.0,3090.0,3264.0,2590.0,1512.0,776.0,350.0,3.0
Grünfeld Defense,7.0,8.0,26.0,11.0,2.0,,,,,1767.0,1028.0,601.0,277.0,119.0,50.0,6.0,26.0
Blackmar-Diemer Gambit,,,3.0,5.0,,,,,,990.0,1243.0,1417.0,1146.0,1005.0,702.0,592.0,
Rat Defense,2.0,8.0,9.0,4.0,,2.0,2.0,,,1977.0,2239.0,2461.0,1944.0,1274.0,726.0,374.0,11.0
Grob Opening,,2.0,4.0,1.0,,,,,,1439.0,1584.0,1906.0,1500.0,1013.0,655.0,540.0,
Center Game,,2.0,7.0,3.0,,,,,,1132.0,1834.0,2915.0,3617.0,3730.0,3101.0,1804.0,5.0
Catalan Opening,5.0,25.0,22.0,10.0,,,,,,1326.0,384.0,280.0,122.0,55.0,26.0,10.0,26.0
Indian Defense,31.0,85.0,195.0,61.0,4.0,3.0,10.0,3.0,3.0,14325.0,10293.0,9156.0,6682.0,4058.0,2266.0,1120.0,69.0
King's Indian Defense,25.0,86.0,141.0,38.0,3.0,,10.0,1.0,2.0,7378.0,4463.0,3502.0,2048.0,1023.0,385.0,102.0,49.0
Pirc Defense,13.0,44.0,72.0,55.0,,11.0,4.0,2.0,1.0,9879.0,8614.0,8787.0,8076.0,6094.0,3981.0,2183.0,37.0
Torre Attack,4.0,11.0,9.0,2.0,,1.0,,,,977.0,427.0,305.0,203.0,109.0,52.0,17.0,4.0
Queen's Gambit Accepted,8.0,12.0,17.0,6.0,,1.0,2.0,,,1895.0,2888.0,4186.0,4402.0,3448.0,2142.0,924.0,55.0
Nimzo-Indian Defense,5.0,16.0,38.0,14.0,,,3.0,,1.0,2303.0,1523.0,1089.0,618.0,281.0,101.0,20.0,39.0
Rapport-Jobava System,1.0,20.0,15.0,11.0,,,,,,1873.0,1724.0,2332.0,2209.0,1873.0,1337.0,599.0,22.0
Canard Opening,,,,,,,,,,148.0,176.0,123.0,70.0,35.0,21.0,10.0,1.0
Petrov's Defense,6.0,6.0,17.0,9.0,,,,,,2824.0,3827.0,6023.0,6563.0,6034.0,4746.0,3959.0,60.0
King's Indian Attack,32.0,83.0,108.0,39.0,2.0,1.0,1.0,5.0,2.0,4645.0,1541.0,1372.0,894.0,578.0,394.0,222.0,17.0
