,UltraBullet,Bullet,Blitz,Rapid,Classical,Correspondence
Queen's Pawn Game,1146.0,82762.0,104625.0,32640.0,1199.0,220.0
French Defense,1127.0,57355.0,72705.0,20551.0,811.0,115.0
Ruy Lopez,15.0,9575.0,25175.0,10482.0,390.0,57.0
Sicilian Defense,395.0,82992.0,124559.0,32749.0,1326.0,237.0
Englund Gambit,267.0,13872.0,14277.0,4194.0,128.0,20.0
Zukertort Opening,2243.0,32528.0,24024.0,5868.0,249.0,35.0
Queen's Gambit,9.0,660.0,586.0,195.0,20.0,2.0
Caro-Kann Defense,585.0,48853.0,61971.0,18888.0,638.0,122.0
Scotch Game,54.0,13034.0,24764.0,10147.0,332.0,40.0
Bishop's Opening,319.0,10735.0,24245.0,10363.0,427.0,34.0
King's Pawn Game,683.0,22673.0,41836.0,18800.0,827.0,211.0
Philidor Defense,109.0,12680.0,29571.0,11609.0,460.0,65.0
Scandinavian Defense,742.0,55088.0,62676.0,17162.0,645.0,70.0
Nimzo-Larsen Attack,833.0,25082.0,13928.0,2820.0,81.0,28.0
Elephant Gambit,56.0,2578.0,4078.0,1424.0,57.0,6.0
Nimzowitsch Defense,223.0,10161.0,14190.0,4581.0,206.0,20.0
King's Gambit Accepted,16.0,4256.0,10035.0,2907.0,83.0,18.0
Italian Game,120.0,24840.0,54929.0,26617.0,1011.0,102.0
Horwitz Defense,418.0,14493.0,14076.0,3491.0,126.0,14.0
Hungarian Opening,1364.0,22797.0,14565.0,2751.0,88.0,31.0
Queen's Gambit Declined,162.0,26885.0,32937.0,8366.0,356.0,55.0
Benoni Defense,357.0,16741.0,12300.0,2258.0,72.0,12.0
Van't Kruijs Opening,2156.0,20909.0,16988.0,4909.0,228.0,32.0
Modern Defense,430.0,25942.0,24398.0,5157.0,169.0,25.0
Slav Defense,79.0,10460.0,12193.0,2860.0,105.0,16.0
English Opening,241.0,30130.0,34593.0,9081.0,467.0,109.0
Semi-Slav Defense,16.0,4606.0,5254.0,974.0,43.0,7.0
Owen Defense,167.0,13294.0,14083.0,3153.0,106.0,13.0
Mieses Opening,849.0,11101.0,5371.0,1044.0,49.0,3.0
Old Indian Defense,43.0,3260.0,3070.0,663.0,25.0,2.0
Ponziani Opening,7.0,2469.0,5341.0,2409.0,74.0,7.0
Vienna Game,130.0,10469.0,15188.0,5434.0,198.0,25.0
Three Knights Opening,34.0,5106.0,7574.0,3484.0,101.0,9.0
Four Knights Game,38.0,8888.0,15482.0,8665.0,373.0,35.0
Bird Opening,220.0,10185.0,10463.0,2030.0,88.0,19.0
Dutch Defense,15.0,4424.0,6330.0,1422.0,55.0,12.0
English Defense,70.0,7003.0,5943.0,1241.0,33.0,7.0
Grünfeld Defense,3.0,1451.0,2064.0,382.0,16.0,2.0
Blackmar-Diemer Gambit,91.0,2906.0,2964.0,1049.0,28.0,2.0
Rat Defense,59.0,4199.0,5250.0,1423.0,64.0,4.0
Grob Opening,36.0,3428.0,4051.0,1011.0,34.0,6.0
Center Game,86.0,4764.0,9384.0,3672.0,135.0,17.0
Catalan Opening,,797.0,1241.0,236.0,16.0,5.0
Indian Defense,424.0,18192.0,23207.0,6015.0,285.0,53.0
King's Indian Defense,47.0,7763.0,9394.0,1925.0,68.0,23.0
Pirc Defense,390.0,19396.0,21034.0,6518.0,250.0,28.0
Torre Attack,28.0,958.0,936.0,185.0,9.0,1.0
Queen's Gambit Accepted,16.0,5424.0,10771.0,3565.0,137.0,21.0
Nimzo-Indian Defense,15.0,1787.0,3471.0,689.0,38.0,15.0
Rapport-Jobava System,22.0,3726.0,6008.0,2137.0,68.0,13.0
Canard Opening,1.0,171.0,329.0,79.0,2.0,
Petrov's Defense,82.0,8602.0,16983.0,7772.0,361.0,37.0
King's Indian Attack,216.0,4823.0,3907.0,878.0,61.0,13.0
Barnes Defense,53.0,765.0,411.0,150.0,5.0,2.0
Alekhine Defense,333.0,10387.0,9973.0,2567.0,135.0,14.0
King's Gambit,10.0,1188.0,2529.0,837.0,18.0,5.0
Saragossa Opening,347.0,4388.0,2872.0,615.0,21.0,6.0
King's Gambit Declined,32.0,3891.0,6582.0,1542.0,49.0,7.0
King's Knight Opening,34.0,1909.0,4583.0,2644.0,143.0,28.0
Blackmar-Diemer Gambit Declined,5.0,515.0,598.0,225.0,8.0,
