,GM,IM,FM,CM,WGM,WIM,WFM,WCM,LM,Untitled Expert,A,B,C,D,E,N,BOT
Queen's Pawn Game,36.0,76.0,208.0,102.0,4.0,9.0,8.0,2.0,1.0,32901.0,36272.0,42267.0,39200.0,30653.0,20087.0,12718.0,105.0
French Defense,18.0,77.0,188.0,111.0,3.0,4.0,18.0,5.0,5.0,27751.0,29224.0,29584.0,25595.0,17678.0,10647.0,5737.0,94.0
Ruy Lopez,5.0,16.0,55.0,21.0,,3.0,5.0,,1.0,5347.0,6224.0,8524.0,9281.0,7835.0,5127.0,2077.0,161.0
Sicilian Defense,106.0,247.0,537.0,187.0,16.0,11.0,47.0,26.0,7.0,56451.0,52534.0,50815.0,36853.0,21646.0,10776.0,4160.0,228.0
Englund Gambit,2.0,8.0,16.0,8.0,,,3.0,,1.0,3523.0,5086.0,6567.0,6566.0,4956.0,3064.0,1938.0,4.0
Zukertort Opening,35.0,160.0,222.0,63.0,4.0,,1.0,3.0,7.0,15625.0,10469.0,10302.0,9236.0,6916.0,4758.0,3306.0,60.0
Queen's Gambit,,,1.0,,,,,,,138.0,253.0,335.0,317.0,213.0,93.0,63.0,2.0
Caro-Kann Defense,45.0,81.0,227.0,84.0,6.0,4.0,4.0,10.0,3.0,26108.0,24852.0,25975.0,21885.0,15126.0,8631.0,3658.0,51.0
Scotch Game,3.0,13.0,20.0,14.0,,,2.0,1.0,,4256.0,6774.0,9833.0,10415.0,8156.0,5398.0,2410.0,15.0
Bishop's Opening,,1.0,3.0,5.0,,,2.0,,,2140.0,4705.0,8357.0,10099.0,8819.0,5903.0,4553.0,7.0
King's Pawn Game,,4.0,7.0,5.0,,,1.0,1.0,,2922.0,6354.0,11643.0,16066.0,16677.0,15174.0,14141.0,8.0
Philidor Defense,9.0,12.0,24.0,6.0,,5.0,,,,3046.0,6763.0,11073.0,12029.0,10328.0,6316.0,3417.0,11.0
Scandinavian Defense,16.0,38.0,94.0,34.0,1.0,5.0,,,,17430.0,23299.0,27075.0,23667.0,18644.0,12657.0,7965.0,24.0
Nimzo-Larsen Attack,10.0,21.0,144.0,85.0,,1.0,,,,11284.0,7645.0,8022.0,6074.0,3700.0,1825.0,1036.0,38.0
Elephant Gambit,1.0,6.0,12.0,4.0,,,,,,1109.0,1301.0,1598.0,1340.0,1114.0,842.0,578.0,4.0
Nimzowitsch Defense,2.0,10.0,24.0,1.0,,,1.0,,3.0,3850.0,4152.0,4842.0,4928.0,4417.0,3458.0,2483.0,59.0
King's Gambit Accepted,1.0,1.0,5.0,1.0,,,2.0,,,1602.0,3301.0,4250.0,3563.0,2278.0,1156.0,493.0,7.0
Italian Game,5.0,23.0,59.0,34.0,,1.0,2.0,,1.0,8489.0,13914.0,19991.0,23034.0,19955.0,13596.0,6454.0,81.0
