,UltraBullet,Bullet,Blitz,Rapid,Classical,Correspondence
Queen's Pawn Game,811.0,78181.0,101304.0,31984.0,1171.0,206.0
French Defense,815.0,53956.0,70230.0,20121.0,785.0,110.0
Ruy Lopez,12.0,9190.0,24490.0,10261.0,378.0,53.0
Sicilian Defense,289.0,79018.0,120772.0,32161.0,1295.0,225.0
Englund Gambit,201.0,13223.0,13839.0,4125.0,123.0,17.0
Zukertort Opening,1518.0,30232.0,23144.0,5725.0,234.0,33.0
Queen's Gambit,9.0,619.0,570.0,192.0,18.0,2.0
Caro-Kann Defense,404.0,46283.0,60265.0,18636.0,624.0,113.0
Scotch Game,43.0,12543.0,24084.0,9996.0,323.0,37.0
Bishop's Opening,212.0,10172.0,23386.0,10098.0,411.0,29.0
King's Pawn Game,468.0,21622.0,40509.0,18369.0,811.0,205.0
Philidor Defense,88.0,12119.0,28721.0,11402.0,452.0,63.0
Scandinavian Defense,497.0,52000.0,60494.0,16798.0,617.0,68.0
Nimzo-Larsen Attack,495.0,23144.0,13262.0,2753.0,80.0,27.0
Elephant Gambit,35.0,2426.0,3928.0,1398.0,56.0,6.0
Nimzowitsch Defense,168.0,9581.0,13651.0,4454.0,192.0,19.0
King's Gambit Accepted,13.0,4029.0,9621.0,2833.0,80.0,17.0
Italian Game,93.0,23941.0,53462.0,26106.0,980.0,98.0
Horwitz Defense,268.0,13529.0,13560.0,3426.0,123.0,13.0
Hungarian Opening,896.0,20917.0,13875.0,2672.0,83.0,29.0
Queen's Gambit Declined,118.0,25591.0,31999.0,8229.0,349.0,53.0
Benoni Defense,224.0,15436.0,11808.0,2205.0,70.0,11.0
Van't Kruijs Opening,1425.0,19258.0,16281.0,4767.0,222.0,30.0
Modern Defense,315.0,24408.0,23386.0,5038.0,165.0,23.0
Slav Defense,43.0,9842.0,11854.0,2809.0,103.0,16.0
English Opening,168.0,28127.0,33421.0,8880.0,451.0,103.0
Semi-Slav Defense,12.0,4201.0,5082.0,953.0,40.0,7.0
Owen Defense,126.0,12384.0,13508.0,3074.0,103.0,13.0
Mieses Opening,576.0,10356.0,5164.0,1020.0,46.0,3.0
Old Indian Defense,26.0,3074.0,2968.0,646.0,24.0,2.0
Ponziani Opening,7.0,2371.0,5215.0,2380.0,73.0,6.0
Vienna Game,98.0,9865.0,14685.0,5337.0,193.0,25.0
Three Knights Opening,32.0,4890.0,7348.0,3402.0,101.0,9.0
Four Knights Game,30.0,8512.0,15084.0,8489.0,363.0,34.0
Bird Opening,146.0,9579.0,9947.0,1974.0,87.0,19.0
Dutch Defense,10.0,4186.0,6114.0,1395.0,53.0,12.0
English Defense,46.0,6550.0,5700.0,1210.0,33.0,6.0
Grünfeld Defense,3.0,1334.0,2016.0,378.0,14.0,2.0
Blackmar-Diemer Gambit,59.0,2705.0,2854.0,1034.0,27.0,2.0
Rat Defense,43.0,3924.0,5021.0,1382.0,60.0,4.0
Grob Opening,22.0,3160.0,3889.0,985.0,34.0,6.0
Center Game,73.0,4531.0,9075.0,3583.0,134.0,15.0
Catalan Opening,,732.0,1208.0,236.0,15.0,4.0
Indian Defense,264.0,17195.0,22513.0,5925.0,282.0,52.0
King's Indian Defense,33.0,7397.0,9099.0,1878.0,65.0,22.0
Pirc Defense,284.0,18278.0,20387.0,6416.0,238.0,26.0
Torre Attack,18.0,908.0,895.0,181.0,9.0,1.0
Queen's Gambit Accepted,13.0,5184.0,10483.0,3501.0,131.0,20.0
Nimzo-Indian Defense,8.0,1712.0,3379.0,678.0,37.0,13.0
Rapport-Jobava System,18.0,3571.0,5854.0,2111.0,66.0,13.0
Canard Opening,,140.0,321.0,77.0,2.0,
Petrov's Defense,56.0,8269.0,16533.0,7631.0,344.0,37.0
King's Indian Attack,138.0,4471.0,3761.0,853.0,58.0,13.0
Barnes Defense,37.0,708.0,384.0,142.0,5.0,1.0
Alekhine Defense,248.0,9743.0,9603.0,2522.0,132.0,13.0
King's Gambit,8.0,1120.0,2433.0,822.0,17.0,4.0
Saragossa Opening,226.0,3997.0,2713.0,602.0,21.0,6.0
King's Gambit Declined,29.0,3689.0,6330.0,1503.0,47.0,7.0
King's Knight Opening,23.0,1801.0,4449.0,2598.0,139.0,27.0
Blackmar-Diemer Gambit Declined,3.0,491.0,586.0,224.0,7.0,
East Indian Defense,15.0,864.0,908.0,244.0,10.0,4.0
Latvian Gambit Accepted,,368.0,644.0,190.0,8.0,1.0
Wade Defense,6.0,75.0,147.0,38.0,3.0,
Guatemala Defense,,199.0,112.0,34.0,1.0,
Réti Opening,1.0,823.0,1315.0,287.0,11.0,3.0
Englund Gambit Declined,182.0,6456.0,5596.0,1605.0,47.0,4.0
Ware Defense,34.0,630.0,709.0,237.0,26.0,2.0
Gunderam Defense,2.0,179.0,385.0,205.0,12.0,1.0
Danish Gambit Accepted,1.0,1022.0,3063.0,985.0,24.0,
Carr Defense,7.0,423.0,493.0,145.0,7.0,
Barnes Opening,52.0,1843.0,767.0,200.0,15.0,
Pseudo Queen's Indian Defense,,138.0,196.0,41.0,3.0,1.0
St. George Defense,9.0,1361.0,1741.0,591.0,27.0,3.0
Van Geet Opening,339.0,4755.0,3237.0,841.0,34.0,13.0
Kangaroo Defense,13.0,95.0,196.0,84.0,6.0,
Paleface Attack,1.0,93.0,263.0,96.0,9.0,
Blackmar-Diemer Gambit Accepted,1.0,785.0,1347.0,568.0,11.0,1.0
Lion Defense,1.0,224.0,388.0,95.0,2.0,
Richter-Veresov Attack,2.0,326.0,835.0,289.0,6.0,3.0
Mikenas Defense,45.0,1605.0,2086.0,809.0,40.0,1.0
Polish Opening,32.0,4356.0,4963.0,1212.0,56.0,11.0
Trompowsky Attack,28.0,1306.0,2189.0,446.0,17.0,7.0
Benko Gambit Declined,,41.0,102.0,10.0,,
Kádas Opening,61.0,882.0,1100.0,382.0,31.0,3.0
?,93.0,626.0,1869.0,745.0,16.0,211.0
Borg Defense,3.0,790.0,1019.0,397.0,26.0,2.0
King's Pawn Opening,1.0,205.0,550.0,253.0,11.0,4.0
Danish Gambit,1.0,437.0,935.0,241.0,14.0,1.0
Tarrasch Defense,1.0,834.0,1002.0,262.0,12.0,2.0
Queen's Indian Defense,,544.0,754.0,121.0,16.0,4.0
Amar Opening,8.0,258.0,176.0,71.0,3.0,2.0
Yusupov-Rubinstein System,28.0,454.0,493.0,118.0,4.0,2.0
Queen's Indian Accelerated,1.0,115.0,194.0,36.0,,
Slav Indian,2.0,189.0,360.0,108.0,3.0,
Duras Gambit,20.0,976.0,1194.0,383.0,16.0,4.0
Polish Defense,,371.0,449.0,118.0,7.0,
Anderssen's Opening,16.0,928.0,729.0,188.0,7.0,1.0
Benko Gambit,,218.0,542.0,95.0,5.0,1.0
Latvian Gambit,4.0,745.0,844.0,217.0,4.0,1.0
Bogo-Indian Defense,,162.0,478.0,96.0,3.0,3.0
Lasker Simul Special,14.0,283.0,111.0,20.0,,
Ware Opening,50.0,818.0,688.0,302.0,17.0,3.0
Vienna Gambit,3.0,1167.0,915.0,249.0,4.0,3.0
Pterodactyl Defense,,448.0,366.0,49.0,,1.0
Rubinstein Opening,,97.0,141.0,33.0,3.0,
London System,3.0,773.0,1136.0,283.0,11.0,4.0
Goldsmith Defense,10.0,449.0,619.0,220.0,13.0,1.0
Benko Gambit Accepted,,151.0,445.0,38.0,2.0,
Neo-Grünfeld Defense,,467.0,507.0,77.0,3.0,
Czech Defense,,479.0,960.0,400.0,12.0,4.0
Döry Defense,13.0,27.0,15.0,11.0,,
Mexican Defense,1.0,222.0,287.0,60.0,,
Irish Gambit,2.0,41.0,23.0,27.0,,
Portuguese Opening,6.0,140.0,338.0,275.0,13.0,
Clemenz Opening,17.0,643.0,633.0,200.0,14.0,1.0
Robatsch Defense,,28.0,55.0,14.0,,
Australian Defense,2.0,14.0,26.0,14.0,1.0,1.0
Danish Gambit Declined,2.0,178.0,317.0,71.0,,
Hippopotamus Defense,1.0,51.0,75.0,34.0,4.0,
Global Opening,1.0,46.0,61.0,26.0,1.0,
Amazon Attack,2.0,153.0,292.0,170.0,10.0,
Center Game Accepted,8.0,78.0,141.0,72.0,5.0,
Creepy Crawly Formation,,57.0,89.0,40.0,1.0,
Sodium Attack,4.0,76.0,56.0,30.0,2.0,
English Orangutan,,7.0,27.0,7.0,,
Semi-Slav Defense Accepted,,65.0,43.0,6.0,,
Vulture Defense,,14.0,15.0,5.0,,
Bongcloud Attack,,35.0,19.0,8.0,,
Montevideo Defense,,29.0,47.0,8.0,,
Valencia Opening,8.0,145.0,80.0,10.0,6.0,
Lemming Defense,2.0,31.0,30.0,31.0,1.0,2.0
Colle System,,7.0,2.0,,,
Fried Fox Defense,,47.0,30.0,2.0,,
Blumenfeld Countergambit,,8.0,17.0,1.0,,
Zaire Defense,,2.0,3.0,,,
Marienbad System,,,2.0,2.0,,
Blumenfeld Countergambit Accepted,,3.0,4.0,1.0,,
Queen's Pawn,,1.0,2.0,2.0,,
Amsterdam Attack,,2.0,2.0,,,
Zukertort Defense,,3.0,4.0,7.0,,
Formation,,1.0,,1.0,,
Dresden Opening,,,,2.0,,
